Date,Vol_mm3
1964,534.509
1965,404.034
1966,504.878
1967,444.032
1968,842.122
1969,437.47
1970,264.04
1971,464.628
1972,436.716
1973,493.988
1974,372.984
1975,333.735
1976,645.182
1977,612.295
1978,620.76
1979,557.882
1980,494.515
1981,362.199
1982,318.882
1983,311.313
1984,450.2
1985,386.957
1986,688.201
1987,536.824
1988,598.446
1989,573.582
1990,569.269
1991,330.482
1992,949.436
1993,260.183
1994,430.169
1995,577.293
1996,502.513
1997,1055.812
1998,792.781
1999,640.843